,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
0,San Cristobal,7.0,7.0,2.0,140.0,140.0,153000.0,Departamento
1,Boedo,2.0,1.0,2.0,70.0,58.0,159000.0,PH
2,Palermo,2.0,1.0,1.0,45.0,45.0,125000.0,PH
3,Palermo,2.0,1.0,1.0,85.0,50.0,295000.0,PH
5,Villa Crespo,2.0,1.0,1.0,56.0,56.0,150000.0,PH
6,Villa Crespo,2.0,1.0,1.0,70.0,70.0,159500.0,PH
7,Villa Crespo,2.0,1.0,1.0,70.0,70.0,159500.0,PH
10,Villa Pueyrredón,2.0,1.0,2.0,66.0,49.0,170000.0,PH
11,Boedo,2.0,1.0,1.0,68.0,59.0,149000.0,Departamento
12,Boedo,2.0,1.0,1.0,50.0,44.0,115000.0,Departamento
24,Flores,2.0,1.0,1.0,58.0,48.0,154000.0,Departamento
25,Flores,2.0,1.0,1.0,50.0,48.0,132000.0,Departamento
27,Nuñez,2.0,1.0,1.0,45.0,41.0,150000.0,Departamento
30,Almagro,2.0,1.0,1.0,47.0,43.0,120000.0,Departamento
34,Palermo,2.0,1.0,1.0,52.0,48.0,188000.0,Departamento
35,Palermo,2.0,1.0,2.0,81.0,76.0,410000.0,Departamento
38,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
40,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
41,Palermo,2.0,1.0,1.0,50.0,47.0,142000.0,Departamento
43,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
44,Palermo,2.0,1.0,1.0,50.0,47.0,142000.0,Departamento
45,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
46,Palermo,2.0,1.0,1.0,52.0,46.0,159500.0,Departamento
47,Palermo,2.0,1.0,1.0,46.0,40.0,145000.0,Departamento
48,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
49,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
50,Palermo,2.0,1.0,1.0,54.0,54.0,240000.0,Departamento
51,Palermo,2.0,1.0,1.0,46.0,40.0,145000.0,Departamento
52,Palermo,1.0,1.0,1.0,49.0,41.0,169000.0,Departamento
53,Palermo,2.0,1.0,1.0,51.0,43.0,213000.0,Departamento
54,Palermo,2.0,1.0,2.0,81.0,76.0,410000.0,Departamento
55,Palermo,2.0,1.0,1.0,49.0,41.0,169000.0,Departamento
56,Palermo,2.0,1.0,1.0,47.0,47.0,115000.0,Departamento
58,Palermo,2.0,1.0,1.0,57.0,57.0,145000.0,Departamento
63,Belgrano,2.0,1.0,1.0,57.0,46.0,196100.0,Departamento
64,Belgrano,2.0,1.0,1.0,57.0,46.0,181800.0,Departamento
71,Belgrano,2.0,1.0,1.0,57.0,46.0,203200.0,Departamento
78,Belgrano,2.0,1.0,1.0,57.0,46.0,192500.0,Departamento
87,Caballito,2.0,1.0,1.0,58.0,49.0,185000.0,Departamento
88,Caballito,2.0,1.0,1.0,50.0,45.0,149000.0,Departamento
92,Colegiales,2.0,1.0,1.0,58.0,50.0,150300.0,Departamento
93,Colegiales,2.0,1.0,1.0,58.0,50.0,145300.0,Departamento
101,Villa Luro,2.0,1.0,1.0,80.0,62.0,118000.0,Departamento
102,Villa Luro,2.0,1.0,2.0,62.0,62.0,118000.0,Departamento
103,Barrio Norte,2.0,1.0,2.0,95.0,65.0,360000.0,Departamento
105,Las Cañitas,2.0,1.0,1.0,50.0,48.0,220000.0,Departamento
107,Villa Crespo,2.0,1.0,1.0,46.0,43.0,139500.0,Departamento
115,Villa Urquiza,2.0,1.0,1.0,54.0,42.0,149000.0,Departamento
116,Villa Urquiza,2.0,1.0,1.0,45.0,40.0,130000.0,Departamento
127,Almagro,3.0,2.0,1.0,70.0,70.0,159500.0,PH
128,Palermo,3.0,2.0,1.0,55.0,50.0,160000.0,PH
129,Belgrano,2.0,2.0,1.0,53.0,44.0,145000.0,PH
130,Recoleta,3.0,2.0,1.0,78.0,62.0,149000.0,PH
131,Recoleta,3.0,2.0,1.0,78.0,62.0,149000.0,PH
132,Chacarita,3.0,2.0,1.0,125.0,125.0,260000.0,PH
133,Villa Luro,3.0,2.0,2.0,70.0,70.0,120000.0,PH
134,Villa Crespo,3.0,2.0,1.0,90.0,90.0,225000.0,PH
135,Parque Centenario,3.0,2.0,1.0,70.0,70.0,159500.0,PH
136,Parque Centenario,3.0,2.0,1.0,55.0,55.0,168000.0,PH
139,Boca,3.0,2.0,1.0,67.0,60.0,140000.0,Departamento
140,Once,3.0,2.0,1.0,81.0,75.0,169800.0,Departamento
155,Flores,3.0,2.0,3.0,79.0,75.0,200000.0,Departamento
156,Flores,3.0,2.0,2.0,80.0,71.0,115000.0,Departamento
158,Nuñez,3.0,2.0,2.0,88.0,82.0,360000.0,Departamento
159,Retiro,3.0,2.0,1.0,84.0,64.0,199000.0,Departamento
160,Retiro,3.0,2.0,1.0,106.0,106.0,498000.0,Departamento
161,Almagro,3.0,2.0,2.0,69.0,61.0,159000.0,Departamento
162,Almagro,3.0,2.0,1.0,52.0,52.0,134000.0,Departamento
163,Almagro,3.0,2.0,2.0,81.0,70.0,170000.0,Departamento
164,Almagro,3.0,2.0,1.0,60.0,60.0,165000.0,Departamento
165,Almagro,3.0,2.0,1.0,74.0,70.0,174600.0,Departamento
166,Almagro,3.0,2.0,2.0,78.0,70.0,184000.0,Departamento
167,Almagro,3.0,2.0,1.0,65.0,61.0,120000.0,Departamento
168,Almagro,3.0,2.0,1.0,50.0,50.0,139000.0,Departamento
169,Almagro,3.0,2.0,1.0,49.0,49.0,153000.0,Departamento
173,Palermo,3.0,2.0,1.0,63.0,55.0,165000.0,Departamento
176,Palermo,3.0,2.0,2.0,82.0,78.0,450000.0,Departamento
177,Palermo,3.0,2.0,1.0,93.0,65.0,295000.0,Departamento
178,Palermo,3.0,2.0,2.0,66.0,66.0,184900.0,Departamento
179,Palermo,3.0,2.0,2.0,72.0,67.0,214000.0,Departamento
180,Palermo,3.0,2.0,3.0,101.0,87.0,399000.0,Departamento
182,Palermo,3.0,2.0,1.0,66.0,59.0,174000.0,Departamento
184,Palermo,3.0,2.0,2.0,80.0,62.0,295000.0,Departamento
185,Palermo,3.0,2.0,1.0,53.0,53.0,280000.0,Departamento
186,Palermo,3.0,2.0,1.0,65.0,65.0,134000.0,Departamento
187,Belgrano,3.0,2.0,2.0,131.0,125.0,495000.0,Departamento
188,Belgrano,3.0,2.0,1.0,56.0,54.0,159000.0,Departamento
189,Belgrano,3.0,2.0,1.0,52.0,49.0,170000.0,Departamento
191,Belgrano,3.0,2.0,1.0,72.0,65.0,198000.0,Departamento
192,Belgrano,3.0,2.0,2.0,88.0,82.0,360000.0,Departamento
193,Recoleta,3.0,2.0,1.0,85.0,82.0,220000.0,Departamento
194,Recoleta,4.0,2.0,1.0,90.0,85.0,268000.0,Departamento
195,Recoleta,3.0,2.0,2.0,80.0,75.0,280000.0,Departamento
196,Recoleta,3.0,2.0,2.0,85.0,78.0,295000.0,Departamento
197,Recoleta,3.0,2.0,2.0,86.0,80.0,230000.0,Departamento
198,Recoleta,4.0,2.0,2.0,112.0,112.0,330000.0,Departamento
199,Recoleta,3.0,2.0,2.0,82.0,79.0,228000.0,Departamento
200,Caballito,3.0,2.0,2.0,71.0,67.0,245000.0,Departamento
201,Caballito,3.0,2.0,1.0,63.0,54.0,175000.0,Departamento
204,Monserrat,3.0,2.0,1.0,52.0,52.0,120000.0,Departamento
206,San Telmo,3.0,2.0,2.0,70.0,70.0,140000.0,Departamento
208,Colegiales,3.0,2.0,1.0,72.0,65.0,198000.0,Departamento
209,Colegiales,3.0,2.0,2.0,71.0,63.0,210000.0,Departamento
213,Barrio Norte,3.0,2.0,1.0,84.0,64.0,199000.0,Departamento
214,Barrio Norte,3.0,2.0,1.0,50.0,44.0,140000.0,Departamento
215,Barrio Norte,3.0,2.0,1.0,78.0,62.0,149000.0,Departamento
216,Barrio Norte,3.0,2.0,2.0,86.0,80.0,230000.0,Departamento
217,Barrio Norte,3.0,2.0,2.0,82.0,79.0,228000.0,Departamento
219,Villa Crespo,3.0,2.0,1.0,90.0,81.0,260000.0,Departamento
220,Villa Crespo,3.0,2.0,1.0,64.0,61.0,133000.0,Departamento
221,Villa Crespo,3.0,2.0,1.0,56.0,52.0,145000.0,Departamento
222,Villa Crespo,3.0,2.0,1.0,61.0,57.0,145000.0,Departamento
223,Villa Crespo,3.0,2.0,1.0,65.0,58.0,127000.0,Departamento
224,Villa Crespo,3.0,2.0,1.0,53.0,50.0,115000.0,Departamento
225,Villa Crespo,3.0,2.0,2.0,60.0,57.0,175000.0,Departamento
226,Villa Crespo,3.0,2.0,1.0,72.0,70.0,179900.0,Departamento
227,Villa Crespo,3.0,2.0,1.0,58.0,55.0,138000.0,Departamento
228,Villa Crespo,3.0,2.0,1.0,64.0,56.0,155000.0,Departamento
235,Villa Ortuzar,3.0,2.0,1.0,72.0,65.0,198000.0,Departamento
236,Villa Urquiza,3.0,2.0,1.0,54.0,50.0,215000.0,Departamento
239,Parque Chacabuco,3.0,2.0,2.0,90.0,65.0,239000.0,Departamento
240,Parque Centenario,3.0,2.0,1.0,73.0,68.0,205000.0,Departamento
241,Parque Centenario,3.0,2.0,1.0,61.0,57.0,145000.0,Departamento
242,Parque Centenario,3.0,2.0,1.0,50.0,50.0,139000.0,Departamento
243,Parque Centenario,3.0,2.0,1.0,90.0,81.0,260000.0,Departamento
245,Centro / Microcentro,3.0,2.0,1.0,81.0,75.0,169800.0,Departamento
246,Palermo,4.0,3.0,1.0,100.0,100.0,400000.0,PH
247,Palermo,4.0,3.0,1.0,77.0,77.0,239000.0,PH
248,Palermo,4.0,3.0,1.0,120.0,120.0,345000.0,PH
249,Recoleta,4.0,3.0,2.0,130.0,112.0,299999.0,PH
251,San Cristobal,4.0,3.0,2.0,140.0,110.0,160000.0,PH
256,Once,4.0,3.0,1.0,56.0,54.0,140000.0,Departamento
261,Abasto,4.0,3.0,2.0,114.0,107.0,270000.0,Departamento
262,Flores,4.0,3.0,3.0,133.0,113.0,290000.0,Departamento
263,Flores,4.0,3.0,3.0,115.0,105.0,345000.0,Departamento
264,Flores,4.0,3.0,2.0,100.0,94.0,330000.0,Departamento
265,Nuñez,3.0,3.0,3.0,88.0,82.0,360000.0,Departamento
266,Retiro,5.0,3.0,3.0,133.0,133.0,330000.0,Departamento
267,Almagro,4.0,3.0,3.0,144.0,118.0,350000.0,Departamento
268,Almagro,4.0,3.0,1.0,130.0,122.0,169000.0,Departamento
270,Almagro,4.0,3.0,2.0,124.0,124.0,215000.0,Departamento
272,Liniers,4.0,3.0,3.0,130.0,122.0,359900.0,Departamento
273,Palermo,4.0,3.0,2.0,110.0,95.0,298000.0,Departamento
275,Palermo,4.0,3.0,1.0,72.0,64.0,232000.0,Departamento
276,Palermo,4.0,3.0,3.0,168.0,142.0,384500.0,Departamento
277,Palermo,4.0,3.0,4.0,148.0,140.0,500000.0,Departamento
278,Palermo,4.0,3.0,1.0,50.0,50.0,125000.0,Departamento
284,Palermo,4.0,3.0,2.0,159.0,144.0,370000.0,Departamento
285,Palermo,4.0,3.0,3.0,122.0,110.0,405000.0,Departamento
287,Palermo,4.0,3.0,3.0,122.0,110.0,405000.0,Departamento
288,Palermo,4.0,3.0,3.0,168.0,142.0,384500.0,Departamento
289,Palermo,4.0,3.0,2.0,80.0,80.0,249000.0,Departamento
290,Belgrano,4.0,3.0,2.0,77.0,69.0,229000.0,Departamento
291,Floresta,4.0,3.0,1.0,66.0,66.0,138000.0,Departamento
294,Recoleta,4.0,3.0,2.0,88.0,80.0,290000.0,Departamento
296,Recoleta,4.0,3.0,3.0,98.0,87.0,245000.0,Departamento
298,Recoleta,5.0,3.0,2.0,149.0,141.0,398000.0,Departamento
299,Balvanera,4.0,3.0,1.0,100.0,90.0,128000.0,Departamento
300,Balvanera,4.0,3.0,1.0,56.0,54.0,140000.0,Departamento
301,Caballito,4.0,3.0,3.0,115.0,105.0,345000.0,Departamento
302,Caballito,4.0,3.0,3.0,115.0,105.0,345000.0,Departamento
303,Colegiales,4.0,3.0,3.0,110.0,80.0,450000.0,Departamento
305,Barrio Norte,4.0,3.0,2.0,110.0,110.0,295000.0,Departamento
306,Barrio Norte,5.0,3.0,3.0,133.0,133.0,330000.0,Departamento
307,Las Cañitas,4.0,3.0,2.0,75.0,75.0,195000.0,Departamento
308,San Nicolás,4.0,3.0,2.0,78.0,78.0,134000.0,Departamento
309,Villa Crespo,4.0,3.0,1.0,144.0,118.0,350000.0,Departamento
311,Villa Urquiza,4.0,3.0,2.0,90.0,82.0,330000.0,Departamento
312,Villa Urquiza,4.0,3.0,2.0,71.0,63.0,259000.0,Departamento
316,Parque Centenario,4.0,3.0,1.0,84.0,76.0,300000.0,Departamento
317,Parque Centenario,4.0,3.0,4.0,164.0,155.0,370000.0,Departamento
318,Parque Centenario,4.0,3.0,2.0,163.0,125.0,300000.0,Departamento
321,Almagro,5.0,4.0,1.0,95.0,95.0,178000.0,Departamento
322,Almagro,5.0,4.0,3.0,104.0,104.0,175000.0,Departamento
334,Coghlan,2.0,1.0,1.0,62.0,62.0,119000.0,PH
336,San Cristobal,3.0,1.0,2.0,116.0,116.0,290000.0,Casa
337,Boedo,1.0,1.0,1.0,48.0,48.0,115000.0,Departamento
344,Palermo,1.0,1.0,1.0,50.0,50.0,186000.0,Departamento
346,Palermo,2.0,1.0,1.0,52.0,42.0,265000.0,Departamento
347,Palermo,2.0,1.0,1.0,45.0,41.0,145000.0,Departamento
350,Belgrano,2.0,1.0,1.0,87.0,60.0,244900.0,Departamento
353,Recoleta,2.0,1.0,1.0,55.0,55.0,185000.0,Departamento
354,Saavedra,2.0,1.0,1.0,50.0,50.0,140000.0,Departamento
355,Saavedra,2.0,1.0,1.0,49.0,44.0,139000.0,Departamento
357,Balvanera,1.0,1.0,1.0,54.0,51.0,115000.0,Departamento
362,Caballito,2.0,1.0,1.0,48.0,44.0,142000.0,Departamento
365,Colegiales,2.0,1.0,1.0,67.0,57.0,239000.0,Departamento
367,Villa Crespo,2.0,1.0,1.0,54.0,44.0,158000.0,Departamento
368,Villa Crespo,2.0,1.0,1.0,50.0,44.0,158000.0,Departamento
372,Villa Crespo,2.0,1.0,1.0,63.0,60.0,125000.0,Departamento
373,Puerto Madero,2.0,1.0,1.0,50.0,45.0,280000.0,Departamento
376,Parque Chacabuco,1.0,1.0,1.0,53.0,45.0,120000.0,Departamento
378,Barracas,3.0,2.0,1.0,68.0,68.0,130000.0,PH
379,Paternal,3.0,2.0,1.0,71.0,66.0,135000.0,PH
380,Caballito,3.0,2.0,1.0,63.0,63.0,115000.0,PH
383,Parque Chacabuco,3.0,2.0,1.0,177.0,93.0,164900.0,PH
384,Mataderos,3.0,2.0,1.0,171.0,120.0,179900.0,Casa
385,Villa Pueyrredón,3.0,2.0,1.0,71.0,68.0,174000.0,Casa
386,Nuñez,3.0,2.0,1.0,54.0,46.0,125000.0,Departamento
387,Retiro,3.0,2.0,2.0,134.0,109.0,480000.0,Departamento
388,Almagro,3.0,2.0,1.0,73.0,68.0,215000.0,Departamento
389,Almagro,3.0,2.0,1.0,67.0,63.0,200000.0,Departamento
390,Almagro,3.0,2.0,2.0,65.0,60.0,221900.0,Departamento
391,Almagro,3.0,2.0,1.0,51.0,48.0,115000.0,Departamento
393,Palermo,3.0,2.0,1.0,69.0,59.0,273000.0,Departamento
394,Palermo,3.0,2.0,2.0,82.0,65.0,345000.0,Departamento
395,Palermo,3.0,2.0,1.0,63.0,55.0,165100.0,Departamento
396,Palermo,3.0,2.0,2.0,64.0,60.0,149000.0,Departamento
397,Palermo,3.0,2.0,1.0,75.0,67.0,239900.0,Departamento
398,Palermo,3.0,2.0,1.0,83.0,75.0,470000.0,Departamento
399,Balvanera,3.0,2.0,1.0,91.0,85.0,127000.0,Departamento
400,Caballito,3.0,2.0,1.0,70.0,59.0,166900.0,Departamento
401,Chacarita,3.0,2.0,1.0,72.0,55.0,154000.0,Departamento
402,Colegiales,3.0,2.0,2.0,89.0,80.0,365000.0,Departamento
403,Villa Crespo,3.0,2.0,2.0,89.0,89.0,180000.0,Departamento
404,Villa Crespo,3.0,2.0,1.0,59.0,59.0,115000.0,Departamento
406,San Cristobal,3.0,2.0,1.0,135.0,135.0,160000.0,Departamento
407,Villa Urquiza,3.0,2.0,1.0,97.0,64.0,215000.0,Departamento
408,Villa Urquiza,3.0,2.0,1.0,70.0,70.0,235000.0,Departamento
409,Parque Chacabuco,3.0,2.0,1.0,52.0,45.0,120000.0,Departamento
410,Parque Centenario,3.0,2.0,2.0,140.0,130.0,340000.0,Departamento
411,Caballito,4.0,3.0,2.0,125.0,100.0,278900.0,PH
412,Colegiales,4.0,3.0,2.0,167.0,143.0,370000.0,PH
415,Almagro,4.0,3.0,2.0,84.0,84.0,225000.0,Departamento
416,Almagro,4.0,3.0,1.0,80.0,65.0,235000.0,Departamento
417,Almagro,4.0,3.0,2.0,78.0,70.0,184000.0,Departamento
418,Coghlan,4.0,3.0,1.0,79.0,79.0,215000.0,Departamento
419,Palermo,4.0,3.0,1.0,78.0,78.0,215000.0,Departamento
421,Palermo,3.0,3.0,2.0,106.0,93.0,400000.0,Departamento
422,Belgrano,4.0,3.0,2.0,109.0,95.0,407000.0,Departamento
423,Paternal,4.0,3.0,1.0,70.0,70.0,157000.0,Departamento
426,Recoleta,4.0,3.0,2.0,80.0,77.0,338000.0,Departamento
427,Caballito,4.0,3.0,2.0,183.0,166.0,440000.0,Departamento
428,Caballito,4.0,3.0,2.0,134.0,113.0,270000.0,Departamento
429,Caballito,4.0,3.0,2.0,136.0,121.0,340000.0,Departamento
431,Caballito,4.0,3.0,1.0,116.0,116.0,210000.0,Departamento
433,Monserrat,4.0,3.0,1.0,87.0,87.0,149000.0,Departamento
434,Colegiales,4.0,3.0,1.0,60.0,60.0,127000.0,Departamento
435,Barrio Norte,4.0,3.0,2.0,111.0,103.0,308000.0,Departamento
437,Barrio Norte,4.0,3.0,2.0,99.0,95.0,230000.0,Departamento
439,Villa Urquiza,4.0,3.0,2.0,118.0,88.0,295000.0,Departamento
442,Caballito,5.0,4.0,2.0,149.0,149.0,270000.0,PH
443,San Telmo,4.0,4.0,2.0,91.0,81.0,200000.0,PH
444,Villa Crespo,5.0,4.0,2.0,149.0,149.0,280000.0,PH
450,Caballito,4.0,4.0,2.0,113.0,110.0,275000.0,Departamento
564,Flores,5.0,4.0,3.0,192.0,170.0,379000.0,Departamento
567,Palermo,3.0,2.0,1.0,86.0,71.0,360000.0,Departamento
568,Palermo,3.0,2.0,2.0,73.0,73.0,375000.0,Departamento
574,Mataderos,3.0,2.0,2.0,80.0,65.0,130000.0,Departamento
578,Boca,2.0,1.0,2.0,68.0,53.0,140000.0,Departamento
579,Nuñez,4.0,3.0,2.0,106.0,100.0,395000.0,Departamento
580,Palermo,3.0,2.0,2.0,78.0,68.0,255000.0,Departamento
581,Palermo,2.0,1.0,2.0,56.0,50.0,159000.0,Departamento
582,Recoleta,3.0,2.0,2.0,118.0,109.0,400000.0,Departamento
595,Retiro,1.0,1.0,1.0,47.0,40.0,262000.0,Departamento
597,Belgrano,1.0,0.0,1.0,49.0,42.0,142000.0,Departamento
620,Villa Crespo,2.0,1.0,1.0,47.0,47.0,117000.0,PH
621,Villa Urquiza,2.0,1.0,1.0,52.0,47.0,175000.0,PH
625,Saavedra,2.0,1.0,1.0,151.0,108.0,300000.0,Casa
